category,question,answer
parallel bars,Are parallel bars next to each other?,yes
parallel bars,What are parallel bars made out of?,metal
park bench,Are most park benches made of wood?,yes
parking meter,Is the parking meter a triangle?,no
pay-phone,Do people find a pay-phone indoors?,no
pay-phone,Does the pay-phone have wires?,yes
pedestal,Is the pedestal hard?,yes
pencil box,Is the pencil box colorful?,yes
pencil box,Is the pencil box made of paper?,no
pencil box,Is the pencil box a triangle?,no
pencil box,Does the pencil box not have an opening?,no
pencil sharpener,Is the pencil sharpener triangle?,no
perfume,Are perfumes kept in a bottle?,yes
perfume,Is the perfume in a liquid state?,yes
Petri dish,Does a petri dish have a square bottom?,no
Petri dish,Is the petri dish made of steel?,no
photocopier,Is the photocopier rectangular?,yes
photocopier,Is the photocopier in white color?,yes
photocopier,Is the photocopier black?,no
pick,Is the pick similar to a triangle?,yes
pick,Can we make designs on a pick?,yes
pickelhaube,Is the pickelhaube red?,no
picket fence,Is the traditional picket fence white?,yes
picket fence,Where is the picket fence placed?,outside
picket fence,Is the picket fence placed indoor?,no
pier,Is the pier supported by pillars?,yes
piggy bank,Is the piggy bank made of porcelain?,yes
piggy bank,Doesn't the piggy bank have an opening?,no
pill bottle,Does the pill bottle need a lid?,yes
pill bottle,Is the bottom of the pill bottle a triangle?,no
pirate,Does the pirate move on the ground?,no
plastic bag,Are most plastic bags made of plastic?,yes
plow,Are plows made of cloth?,no
plow,Is the plow used by farmers?,yes
plunger,Is the bottom of the plunger rounded?,yes
pole,Does a pole have to be made of wood?,no
pole,Is a pole made of metal?,yes
police van,Is the police van a four-wheel-drive vehicle?,yes
poncho,Is the poncho soft?,yes
pop bottle,Is there a brand name written on the pop bottle?,yes
pot,Can we hang a pot on the balcony?,yes
prayer rug,Is the prayer rug woven?,yes
prayer rug,Is the prayer rug made up of fabric?,yes
prayer rug,Is the prayer rug made of plastic?,no
prayer rug,Are prayer rugs hard?,no
prison,Are bars of prison made of paper?,no
prison,Are the prison doors closed most of the time?,yes
puck,Is the puck played with the hockey?,yes
puck,Is the puck made up of glass?,no
punching bag,Is the shape of the punching bag round?,yes
quill,Is the quill made of a feather?,yes
racer,Does a racer have screens on it?,no
racket,Are strings stretched tightly in the racket?,yes
radio telescope,Is the radio telescope round?,yes
radio telescope,Does the radio telescope have a light color?,yes
radio telescope,Are radio telescopes black?,no
rain barrel,Is a rain barrel round?,yes
recreational vehicle,Are recreational vehicles generally white in color?,yes
reel,Is a reel round?,yes
restaurant,Where do people sit around in restaurants?,table
rocking chair,Are most rocking chairs made of wood?,yes
rocking chair,Are most rocking chairs red?,no
rotisserie,Do most rotisseries use sticks for roasting meat?,yes
rotisserie,Is the rotisserie used to bake bread?,no
running shoe,Are running shoes worn on our hands?,no
running shoe,Are running shoes closed-toed shoes?,yes
running shoe,Are running shoes open-toed shoes?,no
safe,Are most safes transparent?,no
safe,Are most safes circular?,no
safety pin,What is used to make safety pins?,metal
sandal,Are sandal heels typically high?,no
sandal,Can sandals completely cover the feet?,no
sandal,Which part of body is the sandal worn on?,feet
sax,Which part of the body is used to play the sax?,mouth
scabbard,Can the scabbard hold a knife?,yes
scabbard,Is the scabbard round?,no
scale,Is the scale made from metal?,yes
scoreboard,Is the scoreboard made of cloth?,no
screen,Is the screen circular?,no
screen,Is the screen made of cloth?,no
screwdriver,Does the tip of a screwdriver come in one single form?,no
seat belt,Is the seat belt fastened in a car?,yes
seat belt,Which part of the body does the seat belt wrap around?,chest
sewing machine,Where is the sewing machine placed?,table
shield,Are there designs on the shields?,yes
shield,Do shields are soft or hard?,hard
shopping basket,Are most shopping baskets made of plastic?,yes
shopping cart,Is the shopping cart made of barbed wire?,yes
shower cap,Do shower caps cover the hair?,yes
shower cap,What body part do we wear shower caps on?,head
ski,Do we ski in summer?,no
ski,Do we ski on sand?,no
ski mask,Are the ski masks worn on the head?,yes
ski mask,Does the ski mask cover the eyes?,no
ski mask,Does the ski mask cover the body?,no
slide rule,Is the slide rule hard or soft?,hard
sliding door,Does the sliding door have wheels?,no
slot,Is the slot made up of cloth?,no
snorkel,Is the snorkel used underwater?,yes
snorkel,Is the snorkel worn on the arm?,no
snowmobile,Does the snowmobile have doors?,no
snowplow,Are snowplows attached to the front of the trucks?,yes
sock,Are the socks worn on our hands?,no
sock,Are some socks colorful?,yes
solar dish,Where is the solar dish kept?,outside
space heater,Is the space heater electronic?,yes
space heater,Is the space heater made of cloth?,no
space shuttle,Does the space shuttle fly in water?,no
spatula,Is the spatula made up of paper?,no
speedboat,What are speedboats used on?,water
spider web,Is a spider web white?,yes
stage,Are there lights on most stages?,yes
stage,Is the stage on a higher platform?,yes
stage,Are there few people around the stage when playing?,no
steam locomotive,Is the steam locomotive made of steel?,yes
steam locomotive,Does the steam locomotive release smoke?,yes
steam locomotive,Is the color of the steam locomotive black?,yes
steel arch bridge,Are steel arch bridges built for viewing?,no
steel arch bridge,What lines are present below the steel arch bridge?,vertical
steel drum,Is the color of the steel drum sliver?,yes
stole,Which part of body do people wear a stole?,neck
stopwatch,What is the shape of an analogical stopwatch?,circle
stove,Is there fire in a stove?,yes
strainer,Can strainers be used to hold water?,no
streetcar,Does the streetcar have side windows?,yes
studio couch,Does the studio couch have cushions?,yes
stupa,Is the stupa dome-shaped?,yes
stupa,Is stupa a mound structure?,yes
sundial,Does a sundial have screens?,no
sunglass,Are the lenses of sunglasses black?,yes
sunglass,Where are sunglasses worn?,head
suspension bridge,Is the suspension bridge connected by steel cables?,yes
swimming trunks,Are swimming trunks worn on legs?,yes
swimming trunks,Can swimming trunks cover my ankles normally?,no
swing,Does the swing have windows?,no
switch,Does the switch be made of plastic and metal?,yes
syringe,Is the syringe red?,no
syringe,Is the syringe made of cloth?,no
table lamp,Is the table lamp made of paper?,no
table lamp,Where is the table lamp mainly placed?,table
television,Is the television a triangle?,no
tennis ball,Does the tennis ball have lines on it?,yes
thatch,Is the roof of the thatch made of reed and grass?,yes
thatch,Is the roof of the thatch smooth or rough?,rough
theater curtain,What direction do most theater curtains hang in?,vertical
thresher,Are threshers white?,no
throne,Are most thrones made of plastic?,no
throne,Are most thrones in white color?,no
tile roof,Is the tile roof made of plastic?,no
toaster,Do toasters have more than one slot?,yes
toilet seat,Is the toilet seat made of ceramics?,yes
torch,Are torches too heavy to be carried in hands?,no
totem pole,Is the totem pole a triangle?,no
toyshop,Would people be able to find dolls in a toyshop?,yes
trimaran,Does the trimaran move on the water?,yes
trimaran,Does the trimaran move on the land?,no
tripod,Are the tripod legs made of metal?,yes
trombone,Which part of the body is used to play music from the trombone?,mouth
trombone,Is the trombone made of plastic?,no
tub,"Do tubs hold liquid, such as water?",yes
turnstile,What kind of texture is the turnstile?,smooth
vacuum,Does the vacuum have single color?,no
vault,Is the vault made of stone?,yes
velvet,Is the velvet soft?,yes
velvet,Is the velvet hard?,no
vending machine,Does the vending machine have storage space?,yes
violin,Is the violin played with just one hand?,no
wall clock,Are there Arabic numerals on most wall clocks?,yes
wallet,Is the wallet a triangle?,no
wallet,Is the wallet made of paper?,no
warplane,Do warplanes act in water?,no
warplane,Are warplanes made of wood?,no
washbasin,Is the washbasin black?,no
washer,Are washers rectangular with openable doors?,yes
water bottle,Is the water bottle transparent?,yes
water jug,Does the water jug have screens?,no
water tower,Do most water towers sit on some kind of base?,yes
whistle,Does the whistle have a round shape?,yes
whistle,Is the whistle black in color?,no
wig,Is the wig colourful?,yes
wig,Which material is used to make wigs?,hair
wig,Does the wig have different colors?,no
window screen,Is the window screen made of cloth?,no
window screen,Can window screens keep bugs out?,yes
Windsor tie,Which part of the body is the Windsor tie worn on?,neck
wine bottle,Is the bottom of the wine bottle a triangle?,no
wine bottle,Are most wine bottles white in color?,no
wing,Are the wings of an airplane pointed?,yes
wooden spoon,Does the wooden spoon have colorful patterns?,no
wool,Is the wool hard?,no
worm fence,Are worm fences made from metal?,no
wreck,Is the wreck new and shiny?,no
yawl,Is the sail of a yawl triangular?,yes
yurt,Is the yurt covered on top?,yes
web site,Are there words on the web site?,yes
comic book,Are most comic books in black and white?,no
comic book,Is the comic book rectangular?,yes
comic book,Are comic books colourful?,yes
traffic light,Are the traffic lights on the road?,yes
traffic light,Are traffic lights in groups of four?,no
traffic light,Are the traffic lights made of cloth?,no
book jacket,Is a book jacket rectangular?,yes
book jacket,Is a book jacket round?,no
book jacket,Is a book jacket made of plastic?,no
book jacket,Is a book jacket used to cover food?,no
menu,Is the menu round?,no
plate,Is the plate white?,yes
consomme,Does the consomme have a liquid base?,yes
consomme,Is the consomme served on a plate?,yes
consomme,Is the consomme made from rubber?,no
hot pot,Is a hot pot round?,yes
trifle,Is there fruit and cream in a trifle?,yes
trifle,Is trifle hard?,no
ice cream,Does the ice cream look creamy?,yes
bagel,How is the texture of the bagel?,soft
pretzel,Are pretzels made of plastic?,no
cheeseburger,Is there bread in the cheeseburger?,yes
cheeseburger,Is there meat in the cheeseburger?,yes
cheeseburger,Is there cheese in the cheeseburger?,yes
hotdog,Is the hotdog made in a rectangular shape?,no
hotdog,Is the hotdog made in an ellipse shape?,yes
mashed potato,Are mashed potatoes ropy?,yes
head cabbage,Does the head cabbage have a hard shell?,no
broccoli,Is the broccoli wider at the top or the bottom?,top
cauliflower,Is the cauliflower a triangle?,no
cauliflower,Is the cauliflower bumpy on top?,yes
spaghetti squash,How is the outer skin texture of spaghetti squash?,smooth
bell pepper,Can the color of the bell pepper be red?,yes
cardoon,Is the cardoon pointy?,yes
mushroom,Does the mushroom have a stem?,yes
strawberry,Are there seeds on the outside of the strawberry?,yes
orange,Does the orange have a green navel?,yes
orange,Are oranges black?,no
lemon,Are lemons red?,no
fig,Is the color of the fig black?,no
pineapple,Does the pineapple have sword-shaped leaves?,yes
pineapple,"Does the pineapple have a spiky, tough skin?",yes
pineapple,Are pineapples white?,no
banana,Does the banana have a stem?,yes
custard apple,Is the shape of the custard apple round?,yes
custard apple,Does the custard apple grow in water?,no
carbonara,Is the carbonara made of plastic?,no
carbonara,Is the carbonara noodle-shaped?,yes
carbonara,Is the carbonara normally served on a dish?,yes
dough,Is the dough typically rolled into a ball shape?,yes
dough,How does the dough feel?,soft
meat loaf,Is the meat loaf shiny?,no
pizza,What shape is the pizza?,circle
potpie,Is the potpie made of flour?,yes
burrito,Is the burrito wrapped in a cylindrical shape?,yes
red wine,Is the red wine contained in a vessel?,yes
espresso,Is the espresso pink?,no
alp,Are some alps covered in snow?,yes
bubble,Is the bubble round?,yes
bubble,What is the texture of the bubble?,smooth
bubble,Is the bubble triangle?,no
bubble,Is the bubble colorful?,no
cliff,Is the cliff mostly seen in mountains?,yes
cliff,Is the cliff made up of glass?,no
cliff,Are most cliffs situated in the house?,no
coral reef,Do coral reefs appear on land?,no
lakeside,What is the lakeside next to?,water
promontory,Is the promontory near the sea?,yes
sandbar,What does a sandbar touch?,water
seashore,Does the seashore have sand?,yes
volcano,Is the volcano pink?,no
scuba diver,What does the scuba diver swim in?,water
scuba diver,Does the scuba diver wear special equipment?,yes
scuba diver,Do scuba divers work on the ground?,no
scuba diver,Do scuba divers wear jeans to carry out activities in the water?,no
rapeseed,Does the rapeseed grow in water?,no
daisy,Does the daisy grow on trees?,no
yellow lady's slipper,Is the yellow lady's slipper found in water?,no
acorn,Does an acorn have a pokey bottom?,yes
acorn,Is the acorn grown on trees?,yes
buckeye,What color are buckeyes?,brown
buckeye,Is the buckeye shell hard?,yes
agaric,Is the agaric smooth or rough on the surface?,rough
gyromitra,Does a gyromitra have a bumpy top?,yes
gyromitra,Does the gyromitra grow in water?,no
stinkhorn,Is the stinkhorn blue?,no
hen-of-the-woods,Are hen-of-the-woods red?,no
bolete,Does the bolete grow on the ground?,yes
bolete,Is the bolete is soft or hard?,soft
bolete,Is a bolete colorful?,no
ballplayer,Does the ballplayer wear caps?,yes
ballplayer,Does a ballplayer wear a sports jersey?,yes
ballplayer,Does a ballplayer play indoor?,no
ballplayer,Does a ballplayer wear swimming pants?,no
ear,Does the ear usually grow on corns?,yes
